Range Hood,New Pricing,Proline Website,Wayfair,Amazon,Walmart,Home Depot,Sears,Houzz-Prohoods,Houzz-Proline,,
PLFI 520.24,,635.95,635.95,add to amazon,,,,635.95,,,- Pricing Error
PLFI 755.30,,849.95,849.95,,,,849.95,,,,- Changes Needed
PLFI 755.36,,999.95,999.95,,,,999.95,,,,- Pricing Update Completed
PLFI 755.42,,1199.95,1199.95,,,,,,,,
PLFI 755.48,,1299.95,1299.95,,,,1499.95,,,,
PLFI 755.54,,1549.95,1549.95,,,,,,,,
PLFI 755.60,,1599.95,1599.95,,,,1599.95,,,,
PLFI 520.30,,689.95,689.95,,,,689.95,689.95,,,
PLFI 520.36,,779.95,779.95,,,,779.95,779.95,,,
PLFI 520.42,,949.95,949.95,,,,,949.95,,,
PLFI 520.48,,1049.95,1049.95,,,,,1049.95,,,
PLFI 544.30,,699.95,699.95,,,,699.95,,,,
PLFI 544.36,,759.95,759.95,,,,759.95,,,,
PLFI 544.42,,829.95,829.95,,,,,,,,
PLFI 750.36,,999.95,999.95,,,,999.95,999.95,,,
PLFI 750.42,,1099.95,1099.95,,,,,1099.95,,,
PLFI 750.48,,1199.95,1199.95,,,,,1199.95,,,
PLFI 750.54,,1399.95,1399.95,,,,,1399.95,,,
PLFI 750.60,,1499.95,1499.95,,,,1499.95,1499.95,,,
PLFL 832.28,,649.95,649.95,,,,,649.95,,,
PLFL 832.34,,699.95,699.95,,,,,699.95,,,
PLFL 832.40,,869.95,869.95,,,,,869.95,,,
PLFL 832.46,,999.95,999.95,,,,999.95,999.95,,,
PLFL 832.52,,1139.95,1139.95,,,,1139.95,1139.95,,,
PLFL 832.58,,1249.95,1249.95,,,,1249.95,1249.95,,,
PLFW 520.24,359.95,369.95,369.95,340.35,,,,,341.95,,
PLFW 129E.30,599.95,629.95,629.95,581.95,581.95,,,629.95,,,
PLFW 129E.36,619.95,659.95,659.95,609.95,609.95,,659.95,659.95,,,
PLFW 129J.30,599.95,629.95,629.95,581.95,,,629.95,629.95,,,
PLFW 129J.36,619.95,659.95,659.95,609.95,,,659.95,659.95,,,
PLFW 520.30,439.95,449.95,449.95,413.95,,,449.95,,415.95,,
PLFW 520.36,479.95,499.95,499.95,459.95,,,499.95,,461.95,,
PLFW 520.42,829.95,849.95,849.95,781.95,,,,,784.95,,
PLFW 520.48,929.95,949.95,949.95,873.95,,,,,876.95,,
PLFW 544.30,,439.95,add to wayfair,439.95,,,,,,,
PLFW 544.36,,469.95,add to wayfair,469.95,,,,,,,
PLFW 750.36,,789.95,789.95,add to amazon,,,789.95,789.95,729.95,,
PLFW 750.42,,829.95,829.95,add to amazon,,,,829.95,766.95,,
PLFW 750.48,959.95,999.95,999.95,919.95,,,,999.95,922.95,,
PLFW 750.54,,1299.95,1299.95,add to amazon,,,1299.95,1299.95,1199.95,,
PLFW 750.60,,1399.95,1399.95,add to amazon,,,,1399.95,1292.95,,
PLFW 755.30,,749.95,749.95,add to amazon,,,749.95,749.95,,,
PLFW 755.36,769.95,779.95,779.95,717.55,,,779.95,779.95,,,
PLFW 755.48,,989.95,989.95,add to amazon,,,989.95,989.95,,,
PLFW 755.60,,1389.95,1389.95,add to amazon,,,1389.95,1389.95,,,
PLFW 812.30,,,,,,,829.95,,,,
PLFW 812.36,,,,,,,849.95,,,,
PLFW 812.54,,,,,,,1399.95,,,,
PLFW 832.30,,779.95,779.95,,,,779.95,779.95,719.95,,
PLFW 832.36,,929.95,929.95,,,,929.95,929.95,832.36,,
PLFW 832.42,,999.95,999.95,,,,,999.95,922.95,,
PLFW 832.48,,1299.95,1299.95,,,,1299.95,1299.95,1199.95,,
PLFW 832.54,,1399.95,1399.95,,,,1399.95,1399.95,1292.95,,
PLFW 832.60,,1499.95,1499.95,,,,,1499.95,1384.95,,
PLJI 102.36,,1249.95,1349.95,,,,1349.95,,,,
PLJI 102.42,,1549.95,1649.95,1649.95,,,1649.95,,,,
PLJI 102.48,,1749.95,1849.95,1749.95,,,1849.95,,,,
PLJI 102.54,,1849.95,1999.95,add to amazon,,,1999.95,,,,
PLJI 102.60,,1949.95,2099.95,add to amazon,,,2099.95,,,,
PLJI 103.36,,1249.95,1349.95,1246.95,,,1349.95,,,,
PLJI 103.42,,1549.95,1649.95,1522.95,,,1649.95,,,,
PLJI 103.48,,1749.95,1849.95,1749.95,,,1849.95,,,,
PLJI 103.54,,1849.95,1999.95,1845.95,,,1999.95,,,,
PLJI 103.60,,1949.95,2099.95,1938.95,,,2099.95,,,,
PLJW 108.30,,699.95,749.95,692.95,,,749.95,749.95,,,
PLJW 108.30B (Blower Rotated),,749.95,749.95,,,,,,,,
PLJW 108.36,,899.95,899.95,830.95,,,839.95,899.95,,,
PLJW 108.36B (Blower Rotated),,949.95,899.95,,,,,,,,
PLJW 108.42,,989.95,989.95,923.95,,,879.95,989.95,,,
PLJW 108.42B (Blower Rotated),,1039.95,989.95,,,,,,,,
PLJW 108.48,,1099.95,1099.95,1015.95,,,1099.95,1099.95,,,
PLJW 108.48B (Blower Rotated),,1149.95,1099.95,,,,,,,,
PLJW 120.30,679.95,689.95,689.95,616.95,636.82,,689.95,689.95,,,
PLJW 120.36,699.95,709.95,709.95,625.95,655.95,,709.95,709.95,,,
PLJW 120.42,729.95,739.95,739.95,682.95,682.95,,739.95,739.95,,,
PLJW 120.48,759.95,769.95,769.95,710.95,708.95,,769.95,769.95,,,
